Fire,Water,Grass,Bug,Dragon,Electric,Fighting,Flying,Ghost,Ground,Ice,Normal,Poison,Psychic,Rock
0.5,0.5,2.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.5
2.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
0.5,2.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0
2.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0
1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2.0,0.5,1.0,0.5,0.5,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.0,1.0,2.0,2.0,0.5,2.0,0.5
1.0,1.0,0.5,2.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0
0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,0.5,1.0,2.0
2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0
1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0
0.5,2.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,1.0,1.0,2.0
